genre,title,thumbnail,year,synopsis,duration,uuid
Action|Adventure|Sci-Fi,tron: legacy,https://i.imgur.com/0RworbR.mp4,1902,A group of ancient wizard-scientist manage to reach the Moon with a rocket. There they will find adventure and mystery.,18,37c82aff-22b8-4c74-9544-c8d6b7917dbd
Adventure|Animation|Comedy|Family|Sport,cars 2,https://i.imgur.com/0RworbR.mp4,1995,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,145,65fdbfdd-3856-476b-b057-9883af1ffd4f
Action|Adventure|Sci-Fi,green lantern,https://i.imgur.com/rgc6eWN.mp4,2017,"A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.",106,cff7238d-1301-44d1-b50a-72a7c8362487
Adventure|Animation|Comedy|Family|Fantasy,toy story 3,https://i.imgur.com/LZhcDdp.mp4,2015,"As WWII comes to an end, a group of Buchenwald's emaciated prisoners risk their lives for the safety of the camp's youngest inmate: a four-year-old Auschwitz-born Jewish prisoner. Is there a future for the Buchenwald boy?",105,5ed04f29-dbf8-40a0-a2a5-8af71973b8d3
Action|Adventure|Sci-Fi,terminator salvation,https://i.imgur.com/8kisA8v.mp4,2019,Before planning an awesome wedding for his grandfather a polar bear king must take back a stolen artifact from an evil archaeologist first.,105,d1491dcf-25be-4539-be28-01b1f3992aa1
Action|Crime|Thriller,furious 7,https://i.imgur.com/eThziEz.mp4,2016,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",111,65348a21-bd61-4eff-a705-ca2da2da10a4
Action|Adventure|Horror|Sci-Fi|Thriller,world war z,https://i.imgur.com/V6WMXYx.mp4,2013,With the help of three human allies the Autobots once again protect Earth from the onslaught of the Decepticons and their leader Megatron.,143,292ce42d-5983-4e4d-83f0-e8699acafd03
Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: days of future past,https://i.imgur.com/W3fTtFS.mp4,2016,When a prison ship crash unleashes hundreds of Decepticons on Earth Bumblebee leads a new Autobot force to protect humankind.,120,cd3864e9-c0ac-4f19-9978-2d2d85427833
Action|Adventure|Sci-Fi,star trek into darkness,https://i.imgur.com/LcqMMwG.mp4,2017,When nerdy high schooler Dani finally attracts the interest of her longtime crush she lands in the cross hairs of his ex a social media celebrity.,149,c0dea4bd-2b66-4537-872d-fa20e9bc2af2
Adventure|Fantasy,jack the giant slayer,https://i.imgur.com/AARIL26.mp4,2016,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel SÃ¡ez Carral.,146,06c9c546-45d0-4b64-adee-1225afccbaff
Drama|Romance,the great gatsby,https://i.imgur.com/O6XpreV.mp4,2014,In a dystopian future an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.,113,89529348-c2e1-4a12-80b2-c16660e4b1cf
Action|Adventure|Fantasy|Romance,prince of persia: the sands of time,https://i.imgur.com/0RworbR.mp4,2017,Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks family WhatsApp groups and more.,149,6c03c132-0492-4c16-ad52-fa535b8c6e23
Action|Adventure|Sci-Fi,pacific rim,https://i.imgur.com/QzJe4nJ.mp4,2017,As California's 2016 fire season rages brave backcountry firefighters race to put out the flames protect homes and save lives in this docuseries.,120,29806a41-5e4e-4ad7-aac1-b0543027d11b
Action|Adventure|Sci-Fi,transformers: dark of the moon,https://i.imgur.com/6u0PCQK.mp4,2014,A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,125,c7342dea-c3fe-4c26-b0d6-6e3c0c8fe981
Action|Adventure|Fantasy,indiana jones and the kingdom of the crystal skull,https://i.imgur.com/HtjzC5p.mp4,2017,Comedian and celebrity impersonator JoaquÃ­n Reyes decides to be his zesty self for a night of stories about buses bathroom habits royalty and more.,118,6f570595-2a7e-4a80-81e8-bf0b0d7f1f8c
Adventure|Animation|Comedy|Family|Fantasy,the good dinosaur,https://i.imgur.com/4nlbiGT.mp4,2015,"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983 his abductors make the largest ransom demand in history.",130,b63d9cb7-6faa-4196-aa91-4ad55fe2f86a
Adventure|Animation|Comedy|Family|Fantasy,brave,https://i.imgur.com/NhenJym.mp4,2009,A team of minstrels including a monkey cat and donkey narrate folktales from the Indian regions of Rajasthan Kerala and Punjab.,121,69bb7d2c-b2d3-49ff-adcb-b4b15a58775c
Action|Adventure|Sci-Fi|Thriller,star trek beyond,https://i.imgur.com/8xf630M.mp4,2013,An artisan is cheated of his payment a lion of his throne and a brother of his inheritance in these three stories of deception and justice.,110,6a7482eb-40d7-46ea-a5c5-2b94adb81c83
Adventure|Animation|Family|Sci-Fi,wallÂ·e,https://i.imgur.com/C2XcrZJ.mp4,2016,A cat monkey and donkey team up to narrate folktales about friendship from Northeast India and the Indian regions of Bihar and Rajasthan.,143,81f67886-7202-4a1b-be46-63c00791641b
Action|Comedy|Crime|Thriller,rush hour 3,https://i.imgur.com/KNgrqaP.mp4,2012,In three comic-strip-style tales a boy tries to sell wisdom a demon is released from captivity and a king assigns impossible tasks to his minister.,129,09d4dd54-0de9-496f-a515-740e6265c517
Action|Adventure|Sci-Fi,2012,https://i.imgur.com/LZhcDdp.mp4,2017,A cat monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan West Bengal and Maharashtra.,125,49778d49-41ad-420c-a511-540cec910985
Animation|Drama|Family|Fantasy,a christmas carol,https://i.imgur.com/6u0PCQK.mp4,2010,Animal minstrels narrate stories about a monkey's friendship with a crocodile two monkeys' foolishness and a villager's encounter with a demon.,146,eb22ee05-1b14-449a-9fbf-7a24836faf4b
Action|Adventure|Sci-Fi,jupiter ascending,https://i.imgur.com/LItJ5qS.mp4,2013,The consequences of trickery are explored in stories involving an inconsiderate husband two greedy courtiers and a kind man who loses everything.,147,edd353ec-a174-4277-b58d-efb18d228165
Action|Adventure|Drama|Romance,the legend of tarzan,https://i.imgur.com/C2XcrZJ.mp4,2015,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,109,ff094e72-86ac-4d81-9142-968dd1a5b300
Adventure|Family|Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",https://i.imgur.com/Fx5iKwZ.mp4,2014,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,143,551a36c8-a6f6-4f93-b484-e831bdeea789
Action|Adventure|Sci-Fi,x-men: apocalypse,https://i.imgur.com/LcqMMwG.mp4,2015,A brain-addled war vet a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.,114,ec67fb08-202e-4591-a296-fa0196f42eba
Action|Crime|Drama|Thriller,the dark knight,https://i.imgur.com/tZtTkBf.mp4,2015,As the newspaper industry takes a hit The Denver Post breaks new ground with a section dedicated to cannabis culture.,121,72ed5bab-153a-4a1f-ab3c-53d7c2d07270
Adventure|Animation|Comedy|Family,up,https://i.imgur.com/TYDj9ud.mp4,2014,In 1899 a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.,147,587cc375-24fe-4794-9afb-2bd3d993c9c4
Action|Adventure|Animation|Comedy|Family|Sci-Fi,monsters vs. aliens,https://i.imgur.com/mRz7x3g.mp4,2015,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,128,7159377f-52f7-4384-b334-89f4f7d1ece7
Action|Adventure|Sci-Fi,iron man,https://i.imgur.com/Coz5yzb.mp4,2015,As a volatile young couple who have been together for six years approach college graduation unexpected career opportunities threaten their future.,109,3c2ca801-105d-4676-a82c-09dd7fef46ba
Adventure|Drama|Family|Mystery,hugo,https://i.imgur.com/C2XcrZJ.mp4,2015,As four couples with different lifestyles go through the ebbs and flows of joy and sorrow each must learn how to live a good life.,123,f2fa3f29-de5c-4e4b-959b-5bda807a323b
Action|Comedy|Sci-Fi|Western,wild wild west,https://i.imgur.com/V6WMXYx.mp4,2018,Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy a center that helps them regain a sense of self and empowerment.,145,bee5af26-93b2-4ace-8f71-31ef85d0a6df
Action|Adventure|Fantasy|Horror|Thriller,the mummy: tomb of the dragon emperor,https://i.imgur.com/O6XpreV.mp4,2018,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,147,1816bfc8-8ea0-4139-aa48-f3607db52a61
Action|Adventure|Comedy|Sci-Fi,suicide squad,https://i.imgur.com/AylKL2G.mp4,2011,When a family moves into an upscale housing development they encounter a series of paranormal events that drive them to the edge of insanity.,138,1632e2f4-5090-4ed3-b10f-1f52ece08377
Comedy|Family|Fantasy,evan almighty,https://i.imgur.com/YdhTLqF.mp4,2018,When lonely Mai forms an unlikely bond with a top-secret robot they embark on an intense action-packed adventure to foil the plot of a vicious villain.,148,9b89df0e-a95d-4e32-be58-678e31d0e328
Action|Adventure|Sci-Fi,edge of tomorrow,https://i.imgur.com/fan0H9k.mp4,2018,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,147,c930861b-8e8f-4d88-bd53-d7f692d6a2b2
Action|Adventure|Sci-Fi|Thriller,waterworld,https://i.imgur.com/7ax74eb.mp4,2018,In 1930s Paris an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.,138,992e0714-526f-442e-93d2-6e087fe3ab25
Action|Adventure|Sci-Fi|Thriller,g.i. joe: the rise of cobra,https://i.imgur.com/rgc6eWN.mp4,2016,This historical drama explores the long and often volatile friendship of painter Paul CÃ©zanne and writer Ã‰mile Zola who first met as schoolboys.,146,8ca40816-56cf-47da-bda8-2fc99d3d3962
Adventure|Animation|Comedy|Drama|Family|Fantasy,inside out,https://i.imgur.com/W3fTtFS.mp4,2019,Happy-go-lucky chicken Archibald may not remember to do his chores but he never forgets to have fun. After all life's an adventure!,149,b54e22c8-3e3f-4335-a2c3-6ffe1acd267f
Adventure|Drama|Family|Fantasy,the jungle book,https://i.imgur.com/YdhTLqF.mp4,2019,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into Indiaâ€™s heartland to investigate a murder.,120,623b30a6-14cf-46f4-9190-a383dfd95b6d
Action|Adventure|Sci-Fi,iron man 2,https://i.imgur.com/C2XcrZJ.mp4,2018,From a schoolboyâ€™s crush to a middle-aged bachelorâ€™s office romance four love stories spanning age religion and status unfold in a small Indian town.,142,6e580432-e91a-458d-9da7-caa7bba0ca42
Action|Adventure|Drama|Fantasy,snow white and the huntsman,https://i.imgur.com/ZFFosSD.mp4,2018,In Goa and in desperate need of cash four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.,120,3f714dac-d304-4700-8b0d-146ca476b1f2
Action|Adventure|Family|Fantasy|Romance,maleficent,https://i.imgur.com/j3qBgq8.mp4,2019,Bogged down with money problems a couple grows cautious of each other but hit the lottery and decide to stay together â€“ till death do they part.,122,f608b9de-6259-4a56-bc94-ab4760143851
Action|Adventure|Drama|Sci-Fi,dawn of the planet of the apes,https://i.imgur.com/K7ERYIB.mp4,2019,In the 1960s Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous years-long mission to spy for Mossad.,140,3984d317-aa12-4189-818d-508e2d2b64b8
Action|Adventure|Romance|Sci-Fi,the lovers,https://i.imgur.com/AylKL2G.mp4,2015,When best friends break a blood oath one of them is cast away to hell and the other two must save him from the misfits of the underworld.,129,49ea3583-493e-48e3-a67d-dd50bcfcea9c
Action|Adventure|Drama|Fantasy,47 ronin,https://i.imgur.com/l6krM70.mp4,2014,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,146,9a9fe2de-c138-4010-a4b6-78bc0998c8bc
Action|Adventure|Sci-Fi,captain america: the winter soldier,https://i.imgur.com/KNgrqaP.mp4,2015,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,145,37062b0d-9b7b-4d36-b242-44561b24eb94
Adventure|Animation|Comedy|Family|Fantasy,shrek forever after,https://i.imgur.com/V6WMXYx.mp4,2015,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",118,cf892936-40b9-4827-97fd-a067b770cc2e
Action|Adventure|Family|Mystery|Sci-Fi,tomorrowland,https://i.imgur.com/AARIL26.mp4,2019,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,117,e732b2d5-171f-4902-ad84-3092beea4bf8
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,big hero 6,https://i.imgur.com/QzJe4nJ.mp4,2012,When a broken ATM dishes out a fortune a couple who works at the bank vies to see who can recover the most cash â€“ and the loser must find a new job.,117,3262410a-ffb2-4d96-b6ed-da57d6b14d9a
Adventure|Animation|Comedy|Family|Sci-Fi,wreck-it ralph,https://i.imgur.com/j3qBgq8.mp4,2009,After an encounter with an engineer working the night shift for the city train a 30-year-old woman struggles against all odds to pursue true love.,124,e68d4cbb-7a5d-4113-9438-4dd90ea28bf7
Adventure|Animation|Family|Fantasy,the polar express,https://i.imgur.com/TYDj9ud.mp4,2014,Desperate to go to the U.S. to win back his girlfriend Yim hires a tutor to teach him English. But things don't go according to plan.,117,58241657-ad53-4bdc-a26a-effbde2b2d8d
Action|Adventure|Sci-Fi,independence day: resurgence,https://i.imgur.com/Coz5yzb.mp4,2016,When his colleague (and crush) temporarily loses her memory an overlooked geek seizes the chance to make an impression before she remembers again.,135,ef273648-baf7-463c-a80f-29d3d40c8872
Adventure|Animation|Family|Fantasy,how to train your dragon,https://i.imgur.com/Fx5iKwZ.mp4,2009,From disfiguring punishments to festering souls Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.,132,8bef417a-f4f7-4c3f-b776-4d33867051a3
Action|Sci-Fi,terminator 3: rise of the machines,https://i.imgur.com/fan0H9k.mp4,2004,After killing a young girl in a hit-and-run accident a couple is haunted by more than just the memory of their deadly choice.,141,0b788663-507b-4d61-9371-4bfdb0508df7
Action|Adventure|Sci-Fi,guardians of the galaxy,https://i.imgur.com/LItJ5qS.mp4,2011,When his boyhood crush Ern returns Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.,136,dda3a4be-ad5f-4e0f-87d6-f4d0500cf65b
Adventure|Drama|Sci-Fi,interstellar,https://i.imgur.com/hwUzoyu.mp4,2016,A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend get a job and â€“ maybe â€“ even go on a date.,124,ed03a1c1-01bd-48eb-9e00-f003e165e4ba
Action|Adventure|Sci-Fi|Thriller,inception,https://i.imgur.com/SQyPd7N.mp4,2017,Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation mortality documentary films and our weird modern world.,112,a013280e-5d75-46e1-b908-45f59fb9a89f
Action|Adventure|Drama|Horror|Sci-Fi,godzilla resurgence,https://i.imgur.com/ZFFosSD.mp4,2016,Her straitjacketed life turned topsy-turvy by hunky Xavier Evie discovers a new freedom â€“ even though her man just might be an end-of-days crackpot.,134,90a2275d-6ad0-4d62-a17a-e242d2bc02dd
Adventure|Fantasy,the hobbit: an unexpected journey,https://i.imgur.com/HtjzC5p.mp4,2016,Outcast from society and left to die in the wilderness a young boy with polio embarks on a journey to connect with his mother. Based on a true story.,112,2883e46c-f2d1-4c9a-9d53-c157232d289c
Action|Crime|Thriller,the fast and the furious,https://i.imgur.com/rgc6eWN.mp4,2017,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,139,5f0c3d72-dc4d-4abf-821e-0d6754c8f13a
Drama|Fantasy|Romance,the curious case of benjamin button,https://i.imgur.com/LItJ5qS.mp4,2019,A teenage equestrian and a local football player for each other but simmering racism in their small town puts their relationship to the test.,110,713acc59-b255-4905-a04f-b130050a3f54
Action|Adventure|Sci-Fi,x-men: first class,https://i.imgur.com/W3fTtFS.mp4,2019,Rushing to pay off a loan shark a young man breaks into a bungalow to steal the cash unprepared for the dog standing guard â€“ or the trouble inside.,120,3a3b7288-d121-4601-bf77-7fa06881f5a7
Adventure|Sci-Fi,the hunger games: mockingjay - part 2,https://i.imgur.com/LZhcDdp.mp4,2018,T'Challa the superpowered new leader of the hidden highly advanced African nation of Wakanda strives to protect his home from enemies old and new.,106,14ff62de-ed86-4d1d-a741-ff4483b5110b
Action|Adventure|Family|Fantasy,the sorcerer's apprentice,https://i.imgur.com/AylKL2G.mp4,2015,A single woman seizes an opportunity when while standing under a train station clock she meets a stranger who mistakes her for his blind date.,127,c525fd06-ad3d-4b85-bce9-1d2e9e8c4303
Action|Adventure|Drama|Thriller,poseidon,https://i.imgur.com/HtjzC5p.mp4,2016,A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased estranged father via a time warp.,106,93d9ea15-88fa-4c3c-8258-915e381ee28f
